ratio coil 1,ratio coil 2,ratio coil 3
1.0,1.0,1.0
1.0,1.0,0.0
1.0,1.0,-1.0
1.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,-1.0
1.0,-1.0,1.0
1.0,-1.0,0.0
1.0,-1.0,-1.0
0.0,1.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0
